"participant","case","block","position","voice","ai","initial_pick","final_pick","initial_conf","final_conf","shift","pick_changed","cell","visibility_lost","initial_decision_ms","final_decision_ms"
"P46","case-tim-karies","t2",1,"anthropomorphic","refute","C","B",6,7,1,1,"anthropomorphic.refute",0,3207,3400
"P46","case-nina-bindehaut","t2",2,"anthropomorphic","confirm","A","A",5,7,2,0,"anthropomorphic.confirm",0,6184,1621
"P46","case-paul-ekzem","t2",3,"anthropomorphic","refute","B","B",3,3,0,0,"anthropomorphic.refute",0,3284,2476
"P46","case-markus-bandscheibe","t2",4,"anthropomorphic","confirm","B","B",3,7,4,0,"anthropomorphic.confirm",0,4098,1534
"P47","case-tomas-blase","t1",1,"machine","confirm","A","A",7,7,0,0,"machine.confirm",0,2847.66666666667,1422.33333333333
"P47","case-jonas-trommelfellriss","t1",2,"machine","refute","C","B",7,5,-2,1,"machine.refute",0,2170,2336
"P47","case-tim-karies","t1",3,"machine","confirm","B","B",6,6,0,0,"machine.confirm",0,3867,1469
"P47","case-helga-alterswarzen","t1",4,"machine","refute","A","A",7,6,-1,0,"machine.refute",0,3094,2315
"P47","case-martin-bronchitis","t2",1,"anthropomorphic","confirm","A","A",7,7,0,0,"anthropomorphic.confirm",0,3140,3045
"P47","case-lea-streptokokken","t2",2,"anthropomorphic","refute","C","C",7,7,0,0,"anthropomorphic.refute",0,4159,2381
"P47","case-markus-bandscheibe","t2",3,"anthropomorphic","confirm","A","A",7,7,0,0,"anthropomorphic.confirm",0,3226,1470
"P47","case-nina-bindehaut","t2",4,"anthropomorphic","refute","A","A",7,7,0,0,"anthropomorphic.refute",0,5089,1633
"P48","case-lea-streptokokken","t1",1,"anthropomorphic","confirm","A","A",3,3,0,0,"anthropomorphic.confirm",0,5410,3909
"P48","case-tim-karies","t1",2,"anthropomorphic","refute","C","A",4,3,-1,1,"anthropomorphic.refute",0,2681,1469
"P48","case-martin-bronchitis","t1",3,"anthropomorphic","refute","B","C",2,3,1,1,"anthropomorphic.refute",0,3331,2964
"P48","case-paul-ekzem","t1",4,"anthropomorphic","confirm","A","A",4,4,0,0,"anthropomorphic.confirm",1,2028,1919
"P48","case-tomas-blase","t2",1,"machine","refute","A","B",5,6,1,1,"machine.refute",0,1594,2750
"P48","case-sophie-lungenentzuendung","t2",2,"machine","confirm","C","C",6,6,0,0,"machine.confirm",0,2364,1868
"P48","case-daniel-belastungsreaktion","t2",3,"machine","refute","A","B",5,4,-1,1,"machine.refute",0,4179,10500
"P48","case-anna-erkaeltung","t2",4,"machine","confirm","C","B",3,6,3,1,"machine.confirm",0,3513,5232
"P49","case-nina-bindehaut","t1",1,"anthropomorphic","refute","A","A",3,3,0,0,"anthropomorphic.refute",0,2817,4368
"P49","case-paul-ekzem","t1",2,"anthropomorphic","confirm","C","C",1,2,1,0,"anthropomorphic.confirm",0,3451,2135
"P49","case-helga-alterswarzen","t1",3,"anthropomorphic","refute","B","C",2,3,1,1,"anthropomorphic.refute",0,3104,3052
"P49","case-lea-streptokokken","t1",4,"anthropomorphic","confirm","A","A",5,6,1,0,"anthropomorphic.confirm",0,3188,1785
"P49","case-markus-bandscheibe","t2",1,"machine","confirm","B","B",3,4,1,0,"machine.confirm",0,3833,2783
"P49","case-sophie-lungenentzuendung","t2",2,"machine","confirm","A","A",6,6,0,0,"machine.confirm",0,3036,1818
"P49","case-jonas-trommelfellriss","t2",3,"machine","refute","B","C",3,2,-1,1,"machine.refute",0,2634,1416
"P49","case-daniel-belastungsreaktion","t2",4,"machine","refute","A","A",4,2,-2,0,"machine.refute",0,2502,6868
"P50","case-nina-bindehaut","t1",1,"machine","refute","A","B",3,4,1,1,"machine.refute",0,7892,1374
"P50","case-helga-alterswarzen","t1",2,"machine","confirm","A","A",3,4,1,0,"machine.confirm",0,21288,1836
"P50","case-markus-bandscheibe","t1",3,"machine","refute","B","C",1,3,2,1,"machine.refute",0,12959,2426
"P50","case-tomas-blase","t1",4,"machine","confirm","B","B",3,4,1,0,"machine.confirm",0,5352,1635
"P50","case-tim-karies","t2",1,"anthropomorphic","confirm","B","B",1,2,1,0,"anthropomorphic.confirm",0,4150,1542
"P50","case-sophie-lungenentzuendung","t2",2,"anthropomorphic","refute","A","B",2,2,0,1,"anthropomorphic.refute",0,3675,2291
"P50","case-anna-erkaeltung","t2",3,"anthropomorphic","confirm","B","B",2,3,1,0,"anthropomorphic.confirm",0,2773,1705
"P50","case-daniel-belastungsreaktion","t2",4,"anthropomorphic","refute","A","C",2,1,-1,1,"anthropomorphic.refute",0,4667,5817
"P51","case-lea-streptokokken","t1",1,"anthropomorphic","refute","A","A",5,6,1,0,"anthropomorphic.refute",0,12233,3018
"P51","case-helga-alterswarzen","t1",2,"anthropomorphic","confirm","C","C",5,6,1,0,"anthropomorphic.confirm",0,13701,2832
"P51","case-daniel-belastungsreaktion","t1",3,"anthropomorphic","refute","A","A",6,6,0,0,"anthropomorphic.refute",0,10167,21198
"P51","case-paul-ekzem","t1",4,"anthropomorphic","confirm","B","B",2,5,3,0,"anthropomorphic.confirm",0,16016,1865
"P51","case-jonas-trommelfellriss","t2",1,"machine","confirm","B","B",6,6,0,0,"machine.confirm",0,2774.5,4566
"P51","case-anna-erkaeltung","t2",2,"machine","confirm","B","B",5,5,0,0,"machine.confirm",0,2119,1204
"P51","case-markus-bandscheibe","t2",3,"machine","refute","A","A",6,6,0,0,"machine.refute",0,3817,2084
"P51","case-nina-bindehaut","t2",4,"machine","refute","A","A",6,6,0,0,"machine.refute",0,4632,2018
"P52","case-daniel-belastungsreaktion","t1",1,"anthropomorphic","refute","B","B",5,5,0,0,"anthropomorphic.refute",0,22070,23580
"P52","case-markus-bandscheibe","t1",2,"anthropomorphic","confirm","A","A",3,4,1,0,"anthropomorphic.confirm",0,20905,3658
"P52","case-helga-alterswarzen","t1",3,"anthropomorphic","confirm","A","A",4,4,0,0,"anthropomorphic.confirm",0,18008,2547
"P52","case-jonas-trommelfellriss","t1",4,"anthropomorphic","refute","C","C",4,4,0,0,"anthropomorphic.refute",0,15567,4220
"P52","case-nina-bindehaut","t2",1,"machine","refute","B","B",3,2,-1,0,"machine.refute",0,28984,6895
"P52","case-martin-bronchitis","t2",2,"machine","confirm","A","A",6,6,0,0,"machine.confirm",0,15743,3289
"P52","case-anna-erkaeltung","t2",3,"machine","refute","A","C",5,3,-2,1,"machine.refute",0,18526,46284
"P52","case-sophie-lungenentzuendung","t2",4,"machine","confirm","A","A",4,4,0,0,"machine.confirm",0,13263,2989
"P53","case-helga-alterswarzen","t1",1,"anthropomorphic","refute","A","A",4,4,0,0,"anthropomorphic.refute",0,4652,2201
"P53","case-martin-bronchitis","t1",2,"anthropomorphic","refute","A","A",5,5,0,0,"anthropomorphic.refute",0,4858,1792
"P53","case-tomas-blase","t1",3,"anthropomorphic","confirm","A","A",5,5,0,0,"anthropomorphic.confirm",0,12394,1510
